title,year,rating,description,genres
VOCÊ É O PRÓXIMO,2024,10.0,,
Chog,2024,10.0,An innocent dog sitter takes care of a disgusting old murderous miniature schnauzer.,
B-Roll,2024,10.0,"Rachel follows people for money. But she keeps messing it up. Now on thin ice with her handler Daniella, Rachel must follow a man named Tom and make sure he does not notice her, or she's out.",
Lovesong,2024,10.0,,
The Wildman Massacre,2024,10.0,"A hunter searches for his daughter, who has been taken by a strange animal in the woods. On his search he encounters four shady hunters who agree to help him.",
Gracias Sabrina,2024,10.0,"Leo must film a short film. In trying to find a clear direction for his subject, he will be drawn into a series of experiences that will help him broaden his perspective and deepen his creative vision",
Andiamo avanti,2022,10.0,,
"Dois Pontos, Parênteses",2024,10.0,"Lorenzo has been in love with his best friend, Beatriz, since they were kids. Beatriz is the editor of the college newspaper and runs the news around campus. However, one day, Lorenzo's secret is exposed by his younger brother in the ""Confessions"" section of the newspaper, triggering a series of events that lead to a conflict between them. When they are confronted face to face, truths are revealed, and their friendship changes forever.",
Kevin Smith.,2024,10.0,Two baristas completely ignore their job by discussing the filmography of the jersey-wearing New Jerseyan.,
Inspetor Gallo e o Rapto da Garota de Sanja City,2024,10.0,,
Sandy & Junior Especial,1998,10.0,,
Shoplifters,2023,10.0,"A spirited 7-year-old, inspired by cartoon heists, ropes his older brother into an audacious plan to swipe candy but the adventure leads to unexpected lessons about family, guilt and second chances.",
Un fantasma en Santos Lugares,2024,10.0,"Within the framework of a rock festival at the Ocean theater where Bolsa, Jarabe Vencido, Baqueteados por la Marimba and the Karen Quinlan Band participate, the presence of a ghost in the theater is suspected that would be harassing the vocalist Vic Cicuta.",
Wizard of Oz 3: Dorothy Goes to Hell,2006,10.0,"After Satan kidnaps Glinda, Dorothy returns to Oz to confront the Prince of Darkness before all Hell can be released.",
El Cas Àngelus. La fascinació de Dalí,2024,10.0,,
BreemZ - le film,2024,10.0,,
The Piña Colada Film,2024,10.0,,
Small Talk,2024,10.0,"According to Daisy, high school gym class is the perfect setting for catching the attention of her crush, Devon. As the chaos of dodgeball ensues Daisy's best friend, Phoebe, is roped into helping Daisy execute her plan of getting closer to her crush. Daisy is set on winning, just not at dodgeball.",
Oflu Hoca 4,2024,10.0,,
When The Star Shines...,2024,10.0,"""When The Star Shines..."" is a short film that explores, with humor and emotion, the various ways people connect with the Christmas spirit. Between unexpected encounters, personal challenges, and reflections on the meaning of the season, the story reveals that, even when all seems lost, there is always room for reunions, hope, and magic.",
Dr. Lazarus,1992,10.0,"Pilot episode of a never-produced horror short series: In 1870, a group of Argentine landowners founded the Logia del Eterno Retorno, sponsoring the research of Poison, a British veterinarian seeking immortality. However, a yellow fever epidemic interrupted his plans. Before dying, Poison managed to inject his formula into his son, who became Lazarus. This child, condemned to immortality, returned to Argentina in 1995, carrying the fever in his body, forcing him to undergo constant transplants. Now, he seeks the heirs of the lodge to recreate his ancestors' formula.",
Cubicle,2024,10.0,"While working his usual 9-5, a shy man has a self realization and must decide whether he will face his bully of a boss or continue to be a pushover for the rest of his life.",
Funerária,2024,10.0,,
Ausgestopft,2024,10.0,,
Das Perfekte Geschenk,2024,10.0,,
The Night Of Terror!,2024,10.0,"In this Halloween special, Guilherme Gomes brings us three absolutely terrifying stories!",
The Burning Of Judas,2024,10.0,"""The Burning of Judas is yet another of our country's many customs and traditions. Taking place every year around Easter, this centuries-old tradition involves setting fire to a doll covered in sawdust, rags, or newspaper, intended to represent Judas Iscariot, one of Jesus Christ's disciples and the famous traitor, and the main character in the second season of the soap opera ""The Bible"". However, this event isn't as innocent as it seems for everyone. In this episode of ""Relatos da Vida do Nosso País"", we'll learn the story of Mr. Vicente Judas, a bartender and treasurer of the Parada de Gonta Parish Council.""",
True Story Of Christmas,2023,10.0,"In this short film, Guilherme Gomes explores the idea of ​​the Nativity scene and the legend of Jesus' birth in an... unusual way.",
Taxi de la comedia,2024,10.0,,
External Relations,2024,10.0,"Rick, a 20-something slacker, heads into the office for a final interview to land the job he's sure will turn things around. Only, Rick's ex-girlfriend, Lauren, turns out to be the hiring manager he's never met. Weaving together the past and present, personal and professional, Rick is forced to reckon with his mistakes. Will he get Lauren on his side, or leave empty-handed?",
The Kevin Files Part II: The Kevinator,,10.0,"The newly appointed mayor attempts to stop murders happening in Kevinland with the help of his new friend Pastor Joe Frank, who is not who he seems. Meanwhile, a union of citizens rebels against the mayor's rule.",
The Kevin Files,,10.0,An evildoer disguised as an innocent crime scene journalist commits and reports on various heinous murders.,
STEFAN [ʃteføn],2024,10.0,"Stefan is an Ikea chair belonging to a young couple who lost their dog last year. During  yet another altercation, it decides to get involved.",
5 Bottiglie,2024,10.0,,
Don Rickles Live Mystic Lake,2024,10.0,"Here is the premiere of Don Rickles Live Mystic Lake 2010! Filmed at Mystic Lake Casino Hotel in 2010.  Presented by Winbrook Entertainment in association with Wynnefield Productions, this legendary performance is a testament to Don Rickles' comedic genius. Remastered by Sorcery Cinema, this exclusive release brings the magic of Don Rickles' timeless humor to a new generation of fans. Join us as we celebrate the legacy of the iconic Don Rickles, with the support of the Rickles Estate.",
Greho Sukh Private Limited,2015,10.0,"Witness Bangladesh's most iconic telefilm!  After the massive failure of Somudro Bilash Private Limited, Mr. Rafiq and his gang are back with another business idea. This time, they will provide training and job placement services for housemaids.",
Karoline Augusta Antonsen,2024,10.0,"Born into a family of farmers in the mid-19th century, Karoline Augusta Antonsen moves to a nearby industrial city in her late teens, driven by the dream of building a large family and owning a big house. This short film follows her journey of hope, and her struggle to survive in a tough economy. Will she achieve her lifelong ambition or will her story end in tragedy?",
Peach Pits,2024,10.0,"Ari, Liv and Brooke are roommates and the best of friends, but when one of them meets a new guy, their friendship is put to the test.",
Seeing Someone Else,2024,10.0,"A young man coming to terms with his future, as well as the impact he has on those around him. After a devastating break-up,  John, begins taking a mysterious drug that allows him to see his ex-girlfriend as though she never left. As time goes on however, he realizes that this imaginary woman has little in common with the person he used to know.",
Paper Players' War,2024,10.0,"A Blue Soldier and a Yellow Soldier play a board game trying to outwit each other, struggling for control over a piece of land. The Farmer who belongs to the land is not allowed to play and must pick a side. As the fighting escalates, what side does she choose?",
Shutterbug,2024,10.0,"Shutterbug follows a troubled teenager named Thomas as he explores his passion for photography. The film portrays Thomas's journey from a confident, even arrogant, young photographer who believes himself to be a prodigy, to a humbled individual who discovers a deeper purpose in his art. This mockumentary reveals Thomas's struggles with self-doubt and his eventual understanding of what truly motivates his art.",
Crescendo,2024,10.0,"We delve into the universality of music and the contrasting nature of musical preferences through the story of Yomna and Farah, two teenagers who differ in everything except their shared passion for music.",
Geese of Love,2024,10.0,"In the heart of Kyiv, Hena, a charming daydreamer, falls for a mysterious girl he barely saw on a crowded bus. Armed with only a few clues, he embarks on a comical, bar-hopping adventure with his best friend to find her. But will Hena’s determination to chase love be enough to make their paths cross again?",
Battle of the Fathers,2024,10.0,"Beloved Kostya and Masha decide to get married. But immediately there are problems with relatives. Kostya's father is a retired military man, a strong—willed Russian man who plans to rent an Officer's House for a family celebration, invite all relatives up to the fifth generation and celebrate according to the traditions of the Russian feast.",
The Band,2008,10.0,,
The Phantom Freak,2024,10.0,Four fellers bite of more then they could chew when then mess around with a ouija board,
Digging your life,2024,10.0,"An unknown disease is striking to younger generation, the patients are going to lose the sense of reality and the memory of themself. We following a girl who got her new name 'OK' and she is going to figure out what's going on.",
O Mapa não é Terrítório,2024,10.0,"The short is based on the theory of philosopher Alfred Korzibisky, creator of General Semantics and which is currently part of one of the main assumptions of Neurolinguistic Programming.",
Dulcinea,2024,10.0,"Dulce is an influencer obsessed with her self-image. After firing her best friend Clara from their co-owned content channel, a domino effect in her life will make her question her humanity and the world behind the screen.",
Karaoke,2024,10.0,Julian Toshi finds the beauty of life in the most simple things.  Is in his daily routine where he reflects about finding purpose.,
Blonde Apparition,2024,10.0,"In 1944, Luciana, a sensitive young woman full of dreams, sees her life fall apart after the painful separation from her best friend. In a moment of despair, she tries to take her own life in the school bathroom, but fate gives her a second chance. However, a tragic event turns her into a ghost, trapped between the worlds of the living and the dead. Now, Luciana wanders the bathrooms, summoned by those who know the ritual that brings her back. As her story intertwines with the present, a group of teenagers decides to unravel the mysteries surrounding the legend of the Bathroom Blonde, facing not only the ghosts of the past, but also their own insecurities and fears. A moving journey about friendship, loss and the search for redemption.",
Le Gargouillon,2024,10.0,,
I Can't Have Sex,2024,10.0,"Bel Gatti can’t have sex, so her therapist suggests she make a film about it, turning her supposed external trauma into a boomerang. We witness the daily narration of her life, with her babysitting job, visits to her mother and grandmother, her real and fictional kisses and her personal search. The landscape is also populated by dildos, drag performances and an actor possessed by Andy Warhol himself. Everything passes through filters, gifs, stickers, post-contemporary aesthetics and the closeness that the length of the director’s arm gives us for this intimate social network diary, a hyper-documentary that tries to interpret this hypersexualised society. And fun, a post-humorous fun. Would you dare to laugh?",
"Baile, Botella & Barajas",2024,10.0,"In the world of briscas, three kings and a queen gather to play cards and discuss the important issues of society... if their eccentric personalities allow it.",
Okamoto,2024,10.0,"Manta Okamoto is a strange young man. He is prone to spontaneous tantrums. On the verge of hikikomori, he faces reality through numbers and with a brain full of crisp ideas. He’s also the most creative editor in the magazine where he works, even if he’s always late. One day, one of his seniors at the publishing house offers him a job: he could earn a lot of money just by taking care of a cardboard box for a few days. On the other side of town, a group of gangsters are missing something and will do anything to get it back.",
Not That Kind of Clown,2025,10.0,"When social hermit May hires a birthday clown for herself, she doesn’t expect Germayne, a disillusioned Pierrot to show up for the job. After May’s emotional baggage spills through her carefully constructed facade right in the middle of it, Germayne takes matters into her own gloved hands.",
Breogán,2024,10.0,,
The Man Who Wrote About His Past,2024,10.0,"An experimental, non-sensical comedy about bringing a stone age man back to our time, made with the app “Plotagon”.",
My Way Or The Highway,2024,10.0,A young Man must win to find out what reality is truly about. But when a young man arrives.,
The Contract,2024,10.0,A married couple enters into a contract to have a threesome and realizes what is most important to their marrage.,
Fomos Perseguidos na Floresta!,2024,10.0,,
OK/NOTOK,2024,10.0,"OK/NOTOK is a genre-bending love story set in the very near future with a darkly comic edge. Loretta, a working-class British Asian woman, attempts to navigate a turbulent world, a new stranger in her life and unskippable adverts.",
How to become positive,2024,10.0,,
The Tie,2024,10.0,"On a road where there is no one, Prosecutor Cengiz's car breaks down. The only team that can help Cengiz, who is trying to get to the hearing in the city center, is a prison vehicle containing criminals.",
Notes on Myself,2024,10.0,"One person with a strange condition, multiple inappropriate therapy techniques, and an indefinite number of rapidly spreading post-it notes. That’s just K’s reality, a young adult who’s leaving a trail of yellow post-its wherever they go. In a desperate attempt to get some sort of medication for this “disease”, K goes through an ordeal of psychiatrist appointments only to discover the unpleasant and unwelcome surprises.",
Império de Papel,2024,10.0,"Francisco, lost in an exhausting war of paper balls, tries to find a way home with his friend Stanley among the dead and a lot of blood.",
Golden Brothers,2024,10.0,"Koli, an honorable elderly man has just opened his business, a ""Funeral Agency."" Everything seems perfect, except for the fact that he unintentionally finds himself caught in the trap of a criminal gang. Together with his brother, whom he has employed in his agency, they will go through many trials, during which they meet Besi, believing him to be the right solution to their problem. However, in reality, this solution becomes a harm inflicted upon Besi, who, justifiably, will use them to rectify the wrongdoing committed against him. Friendship and enmity, danger and adventure, laughter and tears will accompany them on the crime-laden path of no return, in pursuit of the hope that the truth will prevail.",
El cacharrico,2023,10.0,,
Psycho Killer Queen,2024,10.0,"After getting cheated on, Lily deals with her break up and her broken heart in an unusual way.",
Chickenboy,2024,10.0,"When a lonely farmer accidentally makes a chicken-human hybrid; he must decide it’s fate, and ultimately his own.",
Crackdown,2024,10.0,Watch two rival gangs vie for power on a street corner selling drugs.,
Start Up,2024,10.0,"Brothers, Pete and Norm Stuckey, will do anything to make sure their brand-new make-up startup is successful. Pass out flyers, hit-up social media influencers...and even borrow money from their town's local loan shark. With the clock ticking to pay him back, and their product missing days before their company launch, they'll have to turn to a late-night, infomercial 'fixer' to save their business...and their lives.",
Sandwich Baseball,2019,10.0,"Geoffrey Baseball is struck with tragedy at the death of his mother. He is always living in his father’s shadow, living his father’s dream. Against all odds, he combines his mothers love with his fathers hate resulting in the perfect lunch time sport: sandwich baseball",
Holy Bananas,2024,10.0,A snack-hungry teen finds himself trapped in a surreal nightmare after reaching for his favorite gummy bears.,
Tourists,2015,10.0,"On the verge of separation, a song comes on that transports an interracial couple to a time when they were at the height of their love. Can this love last, or are they just tourists in each other's lives, bound by time and place?",
TCHAKABUM,2022,10.0,,
Life Hacks for Lovers,2024,10.0,Roberta finds her recipe for love.,
The Tent of Wisdom,1982,10.0,The film is based on the fables of Sulkhan-Saba Orbelia,
Ext. Friendship - Night,2024,10.0,"Four old friends gather on the night before one of them is about to leave for military service to bid him farewell. One of them documents the events of that night. Years later, he returns to his country and tries to reunite the group.",
Yours,2024,10.0,"A wandering suit man finds love, but that’s not his true desire. Through a seductive encounter, he begins to reveal his own identity and delusions surrounding him.",
Søren Ladefoged - Knap Så Tavs,2024,10.0,,
Niels Nørkjær - Det Ene Ord Tager Det Andet,2023,10.0,,
Tjelle Vejrup - Aase,2023,10.0,,
Clipes da resenha #2,2024,10.0,,
Gnomegeddon,2024,10.0,"With decades worth of evidence including leaked government computers, found footage and children’s television, one hardcore believer shares their troubling findings about the impending gnomegeddon with the world.",
Kekaiulu Hula Studio,2022,10.0,"Kekaiulu Hula Studio follows the Proclaimed Hula Halau of the same name, showcasing their twist on what the real reason for hula is and what life as a dancer in the halau is really like.  Something previously unseen in the public eye.",
Renewing Mikael,2014,10.0,Mikael hears that he has only six months to live. He decides that he will look good at the coffin.,
Butterflies,2024,10.0,"It's summertime. Sacha and Nina are gently getting bored in the countryside. There's the thrill of first love, but also the end of adolescence.",
Entre plumas y dulce,2022,10.0,,
Just One Night,2024,10.0,"Liv, a first-year university student, recounts an absurd evening spent with the ever-so-charming film-bro Guy. Through her reflection with her close friend Margot, she realizes the night was not as magical as she remembered.",
In Control,2024,10.0,"When a few friends stumble upon a possessed game controller, they must work together to defeat the evil inhabiting their apartment.",
Henrik Danielsen - Lykkeligt Folkefærd,2023,10.0,,
Daniel Lill - Glad i Låget,2018,10.0,,
Now and Then,2024,10.0,"Does love run out? Does it have an expiry date? Sofía and Álex, a couple like many others, begin a love story, going from mutual attraction to unbridled passion. But coexistence and the mere passage of time force this beautiful story to begin to write its end. Perhaps love has run out of steam from so much use.",
The Abjuration,2024,10.0,"Metropolis meets Necropolis, Gotham gets drawn and erased, and Glasgow plays host to a spectacle that nobody will ever see.",
CD7,2024,10.0,The seventh installment of the Clip Dump saga. Feature length this time!,
Clipes da resenha #1,2024,10.0,,
Freeloaders in Moscow,2024,10.0,"Summer 2022, two young people are on a road trip. Drama, philosophy and humor in a road movie by TitiMiti.",
Three Missing Treasures,2024,10.0,"Mr. F is suspicious about the infidelity in his own marriage. As he searches for answers, money and threats become essential tools.",
Hot Takes ep 1,2024,10.0,"This is the First edition of New Crowd work Show ""HOT TAKES"" In This show we allow the audience to express their most Controversial opinions anonymously and we try to discuss these opinions with the room trying to make jokes and have fun about the general topic and have healthy and fun debates about  Ambani's wedding ,  English or spanish , Ugly guys Treat you better , No Helmets while Driving , Yashwardhan Vs Vivek , Move on , Slim Boys Vs Fat Boys  , Big Boss OTT , Football vs Cricket and  Barish me bheegna",
Behuli From Meghauli,2024,10.0,"Behuli from Meghauli is a Nepali social drama about a father's struggle to find a perfect groom for his daughter, while she searches for true love. The film highlights family expectations with humor and emotion.",
Take Me to Your Leader,2024,10.0,"A lonely science-fiction fan, Janet, builds a machine to make contact with aliens. When she finally gets a response, she finds herself growing closer and closer to the extraterrestrial through their communication. Little does she know that she’s actually talking to Brad, another human being, who also believes he’s talking to an alien.",
Alla vigilia della guerra...,2024,10.0,,
Queens of Christmas,2024,10.0,"Doris and Julia, life-long friends and feuding neighbors, learn the true meaning of “sisterhood” and Christmas while hilariously competing for the annual title of “Queen of Christmas.”",
BAU-BOOM!,2024,10.0,"Un chihuahua nervoso di nome Picasso viene infastidito. Meglio lasciarlo stare. A nervous chihuahua named Picasso gets annoyed. Better not to bother him.",
Sensation,2024,10.0,"After telling a silly joke, an innocent janitor working in a small comedy club struggles with unforeseen praise that transcends his nightmares and chips away at his sanity.",
M.A.D.,,10.0,"When a young man is forced to remain hunkered down in a nuclear fallout shelter, he does anything and everything to pass the time.",
els TIUS hackejen el canal,2024,10.0,,
Con Job,2024,10.0,"A selfish narcissist and his cash-strapped best friend hire a corrupt notary to swindle his estranged brother. After the notary dies in a freak accident, their elaborate scheme goes off the rails.",
Slaying - Parte 2: Vapo,2024,10.0,,
Runway Kill,,10.0,"In order to impress the schools fashionistas, McKenna, an underprivileged loner, finds a dead fox on the side of the road sparking an idea in her to use roadkill to create the clothes she can’t afford.",
Slaying - Parte 1: Period,2024,10.0,Just a bunch of people doing what is necessary to do... Slay!,
The Van,2025,10.0,"Living in a van on the outskirts of Barcelona, Bear (Pol López) does everything he can to give his six-year-old daughter a life filled with joy, even when there's little to hold onto. Between unsteady routines and fragile hopes, their bond becomes a quiet act of resistance. A heartfelt story about love, dignity, and the small miracles that can bloom in the hardest places.",
The 94 Yard Dash,2006,10.0,"2 friends race each other in a Sears, for all the glory in the world.",
Ghost Story 2,2024,10.0,"Bala is a 20-year-old who has always been lazy. His father Raasikannan live like Korean culture, without worrying about him. Then one day mysterious supernatural activities happened in his house!",
Fer un Stop Motion és massa difícil,2024,10.0,,
Halloween Friends,2023,10.0,The two guys with mask from iconic horror movie characters Jason from Friday the 13th and Ghostface from Scream movie meet in NYC to celebrate Halloween in their own particular way. Their victim of choice suprised everyone on this occasion.,
Saha Dahmane,1980,10.0,"Film about Dahmane El Harrachi, musician, singer and composer of the famous song ""Ya Rayah"", a cult song covered by Rachid Taha, which will enjoy international success. Virtuoso of the banjo, the work of Dahmane El Harrachi did not initially respond to the canons of the purists of Algiers Chaâbi song. However, he will end up establishing himself alongside great masters of the genre, El Hadj M'hamed El Anka, Boudjemaâ El Ankis, El Hachemi Guerouabi, Amar Ezzahi... He plays his own role in this film shot with his musician friends, just before his tragic death in 1980 in a car accident on the Corniche of Algiers.",
The Great American Delta-8 Road Show,2021,10.0,"On the 4th of July in Florida, Kim and Alex make a shocking discovery, Delta-8 isn't real weed. Determined to score the real deal, they embark on a spontaneous cross-country road trip to California.",
The Egos Survive the Pandemic,2020,10.0,"The Egos navigate the absurdities of 2020. From the chaos of school surveys and Tenet confusion, to masked interactions and socially distanced life, they tackle the pandemic life with sharp wit.",
L'étoile qui tue,2024,10.0,,
SF Movie: Spongebob The Cinephile,,10.0,Spongebob and Jibanyan get into a heated debate about cinema!,
DOGMA,2024,10.0,"After adopting a new dog, the owner quickly realizes he's signed up for more than he bargained for.",
Dirty Donna,2024,10.0,Dirty Donna is a 3-part animated horror/comedy. Circling around a vengeful set of sisters trying to deal with their favourite brand of smokes being permanently discontinued.,
Richmond High School: A Nerd's Redemption,2024,10.0,"A shy, nerdy high school student named Clarence is secretly in love with the most popular girl in school, Lucy, who is dating the school's biggest bully, Tyrone. When Clarence catches Tyrone cheating, he must decide whether to expose the truth and risk his wrath, or keep quiet and watch Lucy suffer.",
The Adventures of Tim and Jack,,10.0,Two best friends get telekinesis and go on a quest to defeat a wizard!,
ENPA,2020,10.0,"Akilan who afraid to talk with his father about failed marks scored in exam , how Akilan is faced this problem with his father and his crazy brother Mukilan .",
I Survive in Farm Merge Civilisation,2024,10.0,"In Farm Merge Civilisation, many antics occur, resulting in many twists you will never expect.",
with a previously separated person,2024,10.0,,
#DadLife,2024,10.0,"A young couple embarks on the exciting journey of adoption, preparing to welcome a new member into their family. As they navigate the ups and downs of becoming first-time parents, they experience heartwarming bonding moments, hilarious mishaps, and plenty of dad jokes. With each step, they grow closer to realizing their dream of parenthood, but unexpected surprises and lessons about family await them along the way.",
Stars in Siberia,2024,10.0,"A large company from Siberia invites top stars of Russian show business to a New Year's corporate party. The artists agree and board the plane, but life makes its own adjustments - from the airport, a bus takes them to a small village in the snow, where they are met by the head of the local village council. The stars are in for some tough tests: Svetlakov and Brekotkin will test their friendship for strength, Klava Koka will be left without social networks, Olga Buzova will end up in a large family of Evenk hunters, and Timur Batrutdinov will drink a love potion in the house of a Siberian healer.",
The Dates,2024,10.0,"At a romantic dinner, a couple begins to observe the table next to them, as they suspect a killer is lurking. But first, they need to reach a consensus. Is he really a killer?",
The Tedious Affair of Mustache Grooming,2024,10.0,"When a man's deceased best friend comes back to life as a rat, his reality starts to dissolve and chaos ensues.",
Pikmin Plush Adventures R,2024,10.0,"In 20XX, Captain Olimar has finally earned a paid vacation! But when his coworker Louie and his dog Oatchi crash his ship, the 3 must join together with an alien species known as Pikmin to collect the ship pieces before they run out of oxygen, or worse, the Apexes take them down!",
The Unexpected Party,1953,10.0,"This musical comedy produced in 1953 for the General Government of Algeria, features the comic trio composed of Rouiched, Mohamed Touri and Sid Ali Fernandel, accompanied by the orchestra of the master of the Algiers Chaâbi El Hadj M'hamed El Anka, the singer Fadhéla Dziria, Mustapha Skandrani on the piano. Some scenes were filmed at the Summer Palace (the current Palace of the Algerian Presidency, called the People's Palace). André Zwobada, the director, will play an important role after the independence of Algeria in 1962, in the production and preservation of the first Algerian newsreels.",
A Goal in Marseille,2024,10.0,"Robert just wants to watch Norway play Brazil at the 1998 World Cup, but his bad decisions are about to catch up to him at the worst time possible.",
Katsu,2024,10.0,,
Frank,,10.0,"Two amusement park workers - a cowboy and a gorilla - dive into an absurd conversation about life, love, and personal drama.",
Mariko Aoki,,10.0,"When a man in a Target suddenly feels the need to use the restroom, he is forced to face the obstacles that come in his way.",
Ivan the Unbearable,2008,10.0,"After failing to read the warning label on a box of Troll Cookies, the cursed Viking Ivan gets a case of the hiccups that threaten his entire village. Ivan must make his way to Troll Co. to find a remedy, but first, he must get pass the formidable guard.",
The Continental: Anticipation,2001,10.0,"You've lost your brooch. Your downstairs neighbor, a mysterious bachelor, has found it.",
Madoc Under Attack!,2024,10.0,"A large, lizard-like monster emerges from Moira Lake and attacks the town of Madoc. The citizens of Madoc work together to end its tyranny.",
The Horrors of Going to the Park,2024,10.0,"A mother is hiking with her child, when she realizes he disappeared. Meanwhile, a fight breaks out between two devious warriors.",
Mixed Media,2024,10.0,"A bunch of friends are making a movie in an attempt to win the shortest film competition. But when people have to go to work, things get challenging. Can they finish the movie in time for the deadline?",
Art Talk,2024,10.0,Four students debate the philosophical meaning of a mysterious painting.,
L'oeil du Tophographe,2024,10.0,,
Amnesia,2024,10.0,A forgetful man gets into a heated situation,
"friends, till death.",2025,10.0,MY FRIEND WANTS ME TO KILL HIM.  Two best friends face off when one of them is depressed and asks the other friend to kill him.,
"What's Up Next, Nino?",2024,10.0,"One spring evening, Nino, a young writer of flamboyant, kitschy melos, finds himself catapulted into the nightclub of a city on the edge of the world. How did he end up there? Between two drinks, under the benevolent gaze of Rosa, a philosophical barmaid, and Al, a young customer, memories of his incredible evening gradually surface, like fragments of a love film that has yet to find its ending.",
Праздник,2001,10.0,,
"Do girls eat? And if they do, what is it?",2024,10.0,"Alberto is the head of a production company always looking for scandalous stories to cover. One day he comes across a viral TikTok of Paula, a cannibal activist who defends her lifestyle on social media. After getting in touch with her, the ""Alberto Te Lo Cuenta"" crew will follow the girl and her partner to show a day in their lives.",
GEN SLASH,2024,10.0,The members of a film jury find themselves locked in a cinema after they can’t decide which film to award the prize to.,
Scratching the Surface: A Hasty Examination of the Making of The Muppets,2012,10.0,,
Disorder,2024,10.0,"Four darkly funny tales about Lebanon: Activists planning a protest descend into internal strife. Three sisters and their mother argue while an incompetent plumber destroys their flat. Depressed life coach Malek wants to die and seeks help from a «death coach». A stand-up comedian who jokes about a meteor strike that could put Lebanon out of its misery, is blamed when it appears to come true.",
The Curious Case Of Peadar Ó'Nultaigh,2024,10.0,What's the story with Peadar? Is he another man counting his pints... Or Cork's overnice hero Pintman?,
Blank Out,2024,10.0,"On a cold morning, a curious kitten and a venturous puppy decide to embark on a furious sled experience. The puppy takes the lead, while the cat follows along. The adventure, however, brings some unfreezing surprises.",
Character,2024,10.0,"During a writer's block, a frustrated writer becomes obsessed with the idea that he or she is a fictional character.",
La Flia,2024,10.0,"Carlos, Paula and their two teenage children, Juana and Fausto gather for an eventful night. What seems like just another dinner turns into a duel of hurtful words, looks, and passive-aggressive comments. Over the course of dinner, the tensions and anxieties that arise between them will be revealed, collapsing into a fragmented family and a failed attempt at connection.",
Mountain of Miracle,2025,10.0,"Lonely online miracle worker Olli Hermes cannot accept that his favorite show ""Dr. Burg - der Herzchirurg"" is being cancelled after 35 years. During the last episode, his reality merges with the world of the series. Now Olli is faced with the big question: can he save Dr. Burg from his demise in the feverish finale?",
Thânia & Luísa,2021,10.0,,
Unprecedented Crimes,2024,10.0,"Frank and Ollie start their first day in crime, only to find it’s nothing like their favourite movies.",
Manco Morto,,10.0,,
SLAY,2024,10.0,"Living with flatmates can be tough. Living with an influencer can be even tougher. Phoebe, Jade and Heather have had enough and conspire to 'deal with' Danielle once and for all.",
Clown Bible,2007,10.0,The bible but with clowns.,
Reseda Blvd,,10.0,"In the heart of the San Fernando Valley, along the bustling Reseda Boulevard, a diverse tapestry of strangers crossing paths in unexpected ways.",
Dangerous Cargo,2007,10.0,"Two friends pick up a strange hitchhiker, who has a few surprises up his sleeve.",
True Beauty: The Movie - Part 2,2025,10.0,"Reina's beauty and dreams dazzle, but her bare face exposes hidden truths as Shun and Yu vie for her heart, stirring tension and racing emotions.",
Chennai City Gangsters,2025,10.0,"Having lost a big amount of boss's money given for safe keeping, Pandi and Poochi recruit four washed-up conmen to pull off increasingly a ridiculous bank heist to repay the lost cash back.",
Sleepover at the End of the World,2024,10.0,"As international tensions are on the rise and the threat of nuclear fallout becomes increasingly hard to ignore, estranged sisters Melanie and Olivia spend a night burying the hatchet of past disagreements in the face of their apocalyptic doom",
In The Backstage,2024,10.0,A band lets the pressure of their first concert get the best of them.,
Rampant Buffalo,2024,10.0,"A documentary about an unpredictable and exciting night when a simple birthday party turns into a chaotic adventure. The main character, Maxim, finds himself in the center of events when excessive amounts of alcohol and heated emotions take over. From funny situations to moments when it seems like everything will get out of control, the film captures the dynamics of friendship, fun and unexpected turns that can happen when a celebration becomes a real test for everyone present.",
In Different Rooms,,10.0,A grieving man gets a surprise visit from his best friend.,
Fear Is at Its Peak,2024,10.0,A horror game she plays turns into reality! A thrilling lego movie.,
That Western Film,2023,10.0,A sheriff enters a new town not knowing what to expect. He finds violence and friendship on his journey.,
"Alô, Dolly!",2013,10.0,,
Waiting Session (50$),2024,10.0,"In an increasingly oppressive modern age, the characters of this film are subject to the alienation and meanness that characterizes today’s days.",
Late Night Lift,2024,10.0,"When Bella goes to her new apartment gym later than usual, she encounters an unsettling gym goer amidst a slew of murders in her small town.",
TellyBuba,2024,10.0,A Student Short Film About Teletubbies Fighting Sensei Wu And A Dinosaur,
Happy Birthday Jim Henson,2024,10.0,"Join Kermit the Frog, Oscar the Grouch, and Gobo Fraggle as they celebrate Jim Henson, the man who inspired the lovers, the dreamers, and all of us to come and play, and dance our cares away.",
Starfood - Sushi in Space,,10.0,"In a galaxy not so far away, the world the two moons ""Alphamoon"" and ""Betamoon"" is very divided. While life on ""Alpha"" is wealthy, luxurious and elegant and people always have plenty of food, culture and nice conversations, living on ""beta"" is the opopposite. People live in an industrial landscape and work hard for little amounts of bad food and bad air, to provide ""Alpha"" with the best things. But a little piece of Sushi, flying through space is about to change that.",
The Egos get Canceled,2019,10.0,The Egos face their toughest challenge yet—surviving in a world where one misstep can mean career death. From SNL firing Shane Gillis to secret brunches for shows that survive 100 episodes. Can The Egos survive the Cancel Culture.,
Sem Legendas,2022,10.0,"Maria, an elderly woman that lives alone, asks her neighbor for help fixing her TV.",
